id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2016/2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,345,UNIT,2016/2017
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2016/2017
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,145,UNIT,2016/2017
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2016/2017
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,153,UNIT,2016/2017
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2016/2017
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,126,UNIT,2016/2017
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,7,UNIT,2016/2017
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,83,UNIT,2016/2017
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,14,UNIT,2016/2017
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,161,UNIT,2016/2017
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,13,UNIT,2016/2017
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,122,UNIT,2016/2017
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,8,UNIT,2016/2017
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,58,UNIT,2016/2017
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,9,UNIT,2016/2017
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,38,UNIT,2016/2017
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2016/2017
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2016/2017
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,8,UNIT,2016/2017
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,100,UNIT,2016/2017
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2016/2017
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,122,UNIT,2016/2017
